Date Time,dissolved oxygen(ppm)
9/14/2019 7:46,7.51
9/14/2019 7:46,7.53
9/14/2019 7:47,7.52
9/14/2019 7:47,7.52
9/14/2019 7:47,7.53
9/14/2019 7:48,7.53
9/14/2019 7:48,7.56
9/14/2019 7:49,7.52
9/14/2019 7:49,7.54
9/14/2019 7:49,7.55
9/14/2019 7:50,7.52
9/14/2019 7:50,7.53
9/14/2019 7:51,7.53
9/14/2019 7:51,7.53
9/14/2019 7:52,7.53
9/14/2019 7:52,7.53
9/14/2019 7:52,7.53
9/14/2019 7:53,7.56
9/14/2019 7:53,7.54
9/14/2019 7:54,7.53
9/14/2019 7:54,7.54
9/14/2019 7:55,7.54
9/14/2019 7:55,7.53
9/14/2019 7:55,7.53
9/14/2019 7:56,7.54
9/14/2019 7:56,7.52
9/14/2019 7:57,7.52
9/14/2019 7:57,7.52
9/14/2019 7:57,7.54
9/14/2019 7:58,7.52
9/14/2019 7:58,7.52
9/14/2019 7:59,7.52
9/14/2019 7:59,7.53
9/14/2019 8:01,7.35
9/14/2019 8:02,7.49
9/14/2019 8:02,7.57
9/14/2019 8:03,7.51
9/14/2019 8:03,7.52
9/14/2019 8:03,7.53
9/14/2019 8:04,7.52
9/14/2019 8:04,7.52
9/14/2019 8:05,7.53
9/14/2019 8:36,7.14
9/14/2019 8:36,7.44
9/14/2019 8:37,7.46
9/14/2019 8:37,7.49
9/14/2019 8:37,7.5
9/14/2019 8:38,7.51
9/14/2019 8:38,7.52
9/14/2019 8:39,7.52
9/14/2019 8:39,7.53
9/14/2019 8:40,7.52
9/14/2019 8:40,7.52
9/14/2019 8:40,7.52
9/14/2019 8:41,7.52
9/14/2019 8:41,7.52
9/14/2019 8:42,7.52
9/14/2019 8:42,7.53
9/14/2019 8:43,7.52
9/14/2019 8:43,7.53
9/14/2019 8:43,7.53
9/14/2019 8:44,7.52
9/14/2019 8:44,7.52
9/14/2019 8:45,7.52
9/14/2019 8:45,7.52
9/14/2019 8:46,7.52
9/14/2019 8:46,7.53
9/14/2019 8:46,7.53
9/14/2019 8:47,7.52
9/14/2019 8:47,7.52
9/14/2019 8:48,7.53
9/14/2019 8:48,7.53
9/14/2019 8:48,7.53
9/14/2019 8:49,7.54
9/14/2019 8:49,7.53
9/14/2019 8:50,7.54
9/14/2019 8:50,7.53
9/14/2019 8:51,7.53
9/14/2019 8:51,7.55
9/14/2019 8:51,7.54
9/14/2019 8:52,7.54
9/14/2019 8:52,7.61
9/14/2019 8:53,7.53
9/14/2019 8:53,7.54
9/14/2019 8:54,7.54
9/14/2019 8:54,7.54
9/14/2019 8:54,7.54
9/14/2019 8:55,7.54
9/14/2019 8:55,7.55
9/14/2019 8:56,7.53
9/14/2019 8:56,7.53
9/14/2019 8:57,7.53
9/14/2019 8:57,7.53
9/14/2019 8:57,7.53
9/14/2019 8:58,7.53
9/14/2019 8:58,7.53
9/14/2019 8:59,7.53
9/14/2019 8:59,7.53
9/14/2019 8:59,7.53
9/14/2019 9:01,7.38
9/14/2019 9:02,7.51
9/14/2019 9:02,7.52
9/14/2019 9:03,7.53
9/14/2019 9:03,7.52
9/14/2019 9:03,7.54
9/14/2019 9:04,7.55
9/14/2019 9:04,7.54
9/14/2019 9:05,7.54
9/14/2019 9:37,7.43
9/14/2019 9:37,7.49
9/14/2019 9:38,7.49
9/14/2019 9:38,7.49
9/14/2019 9:39,7.5
9/14/2019 9:39,7.51
9/14/2019 9:39,7.5
9/14/2019 9:40,7.5
9/14/2019 9:40,7.5
9/14/2019 9:41,7.5
9/14/2019 9:41,7.5
9/14/2019 9:41,7.5
9/14/2019 9:42,7.5
9/14/2019 9:42,7.52
9/14/2019 9:43,7.5
9/14/2019 9:43,7.5
9/14/2019 9:44,7.5
9/14/2019 9:44,7.5
9/14/2019 9:44,7.5
9/14/2019 9:45,7.5
9/14/2019 9:45,7.5
9/14/2019 9:46,7.51
9/14/2019 9:46,7.5
9/14/2019 9:47,7.51
9/14/2019 9:47,7.5
9/14/2019 9:47,7.51
9/14/2019 9:48,7.51
9/14/2019 9:48,7.51
9/14/2019 9:49,7.51
9/14/2019 9:49,7.51
9/14/2019 9:49,7.51
9/14/2019 9:50,7.52
9/14/2019 9:50,7.5
9/14/2019 9:51,7.5
9/14/2019 9:51,7.52
9/14/2019 9:52,7.51
9/14/2019 9:52,7.51
9/14/2019 9:52,7.52
9/14/2019 9:53,7.52
9/14/2019 9:53,7.52
9/14/2019 9:54,7.52
9/14/2019 9:54,7.51
9/14/2019 9:55,7.51
9/14/2019 9:55,7.51
9/14/2019 9:55,7.51
9/14/2019 9:56,7.51
9/14/2019 9:56,7.5
9/14/2019 9:57,7.51
9/14/2019 9:57,7.51
9/14/2019 9:58,7.51
9/14/2019 9:58,7.5
9/14/2019 9:58,7.51
9/14/2019 9:59,7.51
9/14/2019 9:59,7.5
9/14/2019 10:01,7.31
9/14/2019 10:02,7.47
9/14/2019 10:02,7.49
9/14/2019 10:03,7.5
